EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM488,20,18-25,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,69229,Upto 5k,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0.0
RM514,20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,43222,Upto 5k,26999,1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1.0
RM663,20,18-25,Yes,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,29729,Upto 5k,22052,1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2.0
RM690,20,18-25,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,21048,Upto 5k,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0.0
RM732,20,18-25,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,45578,Upto 5k,18275,1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0.0
RM777,20,18-25,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,45242,Upto 5k,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2.0
RM857,20,18-25,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,47639,Upto 5k,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2.0
RM877,20,18-25,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,43795,Upto 5k,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2.0
RM1179,20,18-25,No,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,45435,Upto 5k,13251,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2.0
RM1198,20,18-25,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,22303,Upto 5k,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2.0
RM024,21,18-25,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,48010,Upto 5k,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,
RM275,21,18-25,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,56572,Upto 5k,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0.0
RM358,21,18-25,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,21821,Upto 5k,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2.0
RM363,21,18-25,No,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,35117,Upto 5k,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,
RM371,21,18-25,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,34075,Upto 5k,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0.0
RM497,21,18-25,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,36009,Upto 5k,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2.0
RM664,21,18-25,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single,65793,Upto 5k,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0.0
RM778,21,18-25,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,33699,Upto 5k,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0.0
RM816,21,18-25,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single,51734,Upto 5k,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2.0
RM916,21,18-25,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,49441,Upto 5k,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2.0
RM1153,21,18-25,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single,49475,Upto 5k,26009,1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2.0
RM1272,21,18-25,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,2,Single,44500,Upto 5k,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0.0
RM1437,21,18-25,No,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,40632,Upto 5k,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2.0
RM018,22,18-25,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,44751,Upto 5k,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0.0
RM110,22,18-25,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,37283,Upto 5k,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0.0
RM129,22,18-25,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,42873,Upto 5k,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1.0
RM161,22,18-25,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,3,Male,80,3,1,Research Scientist,4,Married,55973,Upto 5k,11992,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2.0
RM207,22,18-25,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,4,Male,60,4,1,Research Scientist,2,Divorced,55830,Upto 5k,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,
RM384,22,18-25,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,46887,Upto 5k,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2.0
RM444,22,18-25,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,52594,Upto 5k,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2.0
RM499,22,18-25,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,41438,Upto 5k,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2.0
RM631,22,18-25,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,872,4,Male,33,2,2,Manufacturing Director,4,Married,118651,Upto 5k,19146,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2.0
RM667,22,18-25,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,166034,Upto 5k,10022,0,Y,Yes,19,3,1,80,1,4,3,4,3,2,0,2.0
RM735,22,18-25,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,1019,2,Male,94,1,1,Laboratory Technician,1,Married,30621,Upto 5k,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1.0
RM861,22,18-25,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,3,Male,48,2,1,Research Scientist,4,Married,66482,Upto 5k,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0.0
RM1138,22,18-25,No,Non-Travel,457,Research & Development,26,2,Other,1,1605,2,Female,85,2,1,Research Scientist,3,Married,50230,Upto 5k,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3.0
RM1274,22,18-25,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,1,1783,3,Female,79,3,1,Laboratory Technician,1,Married,32376,Upto 5k,15999,1,Y,Yes,17,3,3,80,0,1,6,3,1,0,0,0.0
RM1340,22,18-25,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,1,1878,4,Male,75,3,1,Research Scientist,2,Single,31387,Upto 5k,26092,1,Y,Yes,23,4,1,80,0,1,2,3,1,0,0,0.0
RM1424,22,18-25,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,58507,Upto 5k,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2.0
RM087,23,18-25,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,47187,Upto 5k,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0.0
RM346,23,18-25,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,45620,Upto 5k,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2.0
RM517,23,18-25,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,705,1,Male,58,4,1,Research Scientist,1,Married,64206,Upto 5k,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2.0
RM551,23,18-25,No,Travel_Rarely,650,Research & Development,9,1,Medical,1,758,2,Male,37,3,1,Laboratory Technician,1,Married,38306,Upto 5k,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2.0
RM566,23,18-25,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,784,1,Male,79,4,1,Research Scientist,3,Single,58344,Upto 5k,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2.0
RM586,23,18-25,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,811,3,Male,63,4,1,Laboratory Technician,1,Married,31952,Upto 5k,3445,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0.0
RM911,23,18-25,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,1270,4,Male,47,3,1,Research Scientist,3,Married,55233,Upto 5k,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1.0
RM1083,23,18-25,No,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,1533,1,Male,97,3,2,Laboratory Technician,3,Single,68594,Upto 5k,24812,0,Y,No,14,3,2,80,0,5,2,3,4,3,1,2.0
RM1128,23,18-25,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,1,1592,4,Male,45,4,1,Research Scientist,3,Married,34042,Upto 5k,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2.0
RM1202,23,18-25,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,Male,93,2,1,Laboratory Technician,3,Single,38657,Upto 5k,20586,1,Y,Yes,11,3,1,80,0,5,2,3,5,4,1,2.0
RM1214,23,18-25,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,3,Male,99,3,1,Sales Representative,4,Divorced,35698,Upto 5k,25103,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2.0
RM1239,23,18-25,No,Travel_Rarely,160,Research & Development,4,1,Medical,1,1735,3,Female,51,3,1,Laboratory Technician,2,Single,29971,Upto 5k,12862,1,Y,No,13,3,3,80,0,3,3,1,3,2,1,2.0
RM1409,23,18-25,No,Travel_Rarely,571,Research & Development,12,2,Other,1,1982,4,Male,78,3,1,Laboratory Technician,4,Single,44580,Upto 5k,13672,1,Y,No,13,3,3,80,0,5,6,4,5,2,1,4.0
RM1439,23,18-25,Yes,Travel_Frequently,638,Sales,9,3,Marketing,1,2023,4,Male,33,3,1,Sales Representative,1,Married,39462,Upto 5k,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0.0
RM021,24,18-25,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,128162,Upto 5k,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3.0
RM035,24,18-25,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,47729,Upto 5k,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0.0
RM097,24,18-25,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,53728,Upto 5k,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2.0
RM114,24,18-25,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,45208,Upto 5k,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2.0
RM381,24,18-25,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,54140,Upto 5k,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3.0
RM415,24,18-25,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,31951,Upto 5k,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4.0
RM471,24,18-25,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,41603,Upto 5k,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1.0
RM475,24,18-25,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,54038,Upto 5k,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4.0
RM477,24,18-25,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,21502,Upto 5k,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0.0
RM480,24,18-25,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,24483,Upto 5k,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2.0
RM526,24,18-25,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,65,3,2,Sales Executive,3,Single,49380,Upto 5k,24785,9,Y,No,14,3,1,80,0,4,3,3,2,2,2,0.0
RM587,24,18-25,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,1,812,3,Male,60,2,1,Laboratory Technician,2,Divorced,26212,Upto 5k,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0.0
RM641,24,18-25,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,888,1,Male,46,2,1,Laboratory Technician,4,Married,50442,Upto 5k,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4.0
RM725,24,18-25,No,Travel_Rarely,1206,Research & Development,17,1,Medical,1,1009,4,Female,41,2,2,Manufacturing Director,3,Divorced,170983,Upto 5k,24117,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2.0
RM842,24,18-25,No,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,55484,Upto 5k,6409,8,Y,No,22,4,4,80,0,6,2,3,4,3,1,2.0
RM872,24,18-25,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,1,1219,4,Female,97,3,1,Laboratory Technician,2,Married,49756,Upto 5k,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0.0
RM1026,24,18-25,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,Married,79405,Upto 5k,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3.0
RM1061,24,18-25,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,1,1494,2,Male,89,3,1,Laboratory Technician,1,Single,51144,Upto 5k,16998,2,Y,Yes,11,3,3,80,0,4,2,2,0,0,0,0.0
RM1062,24,18-25,No,Non-Travel,830,Sales,13,2,Life Sciences,1,1495,4,Female,78,3,1,Sales Representative,2,Married,23914,Upto 5k,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0.0
RM1098,24,18-25,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,1551,3,Male,57,2,1,Laboratory Technician,1,Divorced,38104,Upto 5k,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0.0
RM1169,24,18-25,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,1646,1,Female,32,3,1,Research Scientist,4,Single,38303,Upto 5k,17218,1,Y,Yes,13,3,3,80,0,6,2,3,6,3,1,3.0
RM1218,24,18-25,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,66165,Upto 5k,17616,1,Y,No,16,3,4,80,1,5,1,3,5,3,0,4.0
RM1223,24,18-25,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,3,Married,44898,Upto 5k,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0.0
RM1231,24,18-25,No,Travel_Rarely,506,Research & Development,29,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,56751,Upto 5k,3622,1,Y,No,13,3,2,80,3,6,2,4,6,2,1,2.0
RM1246,24,18-25,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,59,3,1,Human Resources,4,Married,55731,Upto 5k,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1.0
RM1408,24,18-25,No,Travel_Rarely,771,Research & Development,1,2,Life Sciences,1,1981,2,Male,45,2,2,Healthcare Representative,3,Single,64017,Upto 5k,14120,1,Y,No,12,3,2,80,0,4,2,2,4,3,1,2.0
RM108,25,18-25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,82834,5k-10k,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3.0
RM109,25,18-25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,61376,Upto 5k,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1.0
RM139,25,18-25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,65298,5k-10k,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,
RM256,25,18-25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350,1,Female,62,3,2,Manufacturing Director,3,Married,130190,Upto 5k,7505,0,Y,No,12,3,4,80,2,5,3,3,4,2,1,
RM268,25,18-25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,2,Male,85,4,2,Healthcare Representative,1,Divorced,103199,Upto 5k,18384,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5.0
RM398,25,18-25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,56912,Upto 5k,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3.0
RM406,25,18-25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,50824,Upto 5k,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,
RM479,25,18-25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,48053,Upto 5k,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6.0
RM518,25,18-25,No,Travel_Rarely,810,Sales,8,3,Life Sciences,1,707,4,Male,57,4,2,Sales Executive,2,Married,77464,Upto 5k,15678,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2.0
RM564,25,18-25,No,Travel_Rarely,883,Sales,26,1,Medical,1,781,3,Female,32,3,2,Sales Executive,4,Single,56646,5k-10k,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4.0
RM619,25,18-25,No,Travel_Rarely,180,Research & Development,2,1,Medical,1,854,1,Male,65,4,1,Research Scientist,1,Single,44172,Upto 5k,21632,7,Y,No,13,3,3,80,0,6,3,2,4,3,0,1.0
RM635,25,18-25,No,Travel_Rarely,141,Sales,3,1,Other,1,879,3,Male,98,3,2,Sales Executive,1,Married,62880,Upto 5k,14363,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3.0
RM639,25,18-25,No,Travel_Rarely,583,Sales,4,1,Marketing,1,885,3,Male,87,2,2,Sales Executive,1,Married,54510,Upto 5k,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3.0
RM684,25,18-25,Yes,Travel_Rarely,867,Sales,19,2,Marketing,1,952,3,Male,36,2,1,Sales Representative,2,Married,39293,Upto 5k,18798,1,Y,Yes,18,3,3,80,3,1,2,3,1,0,0,0.0
RM797,25,18-25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,4,Married,28007,Upto 5k,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6.0
RM886,25,18-25,No,Travel_Rarely,1356,Sales,10,4,Life Sciences,1,1240,3,Male,57,3,2,Sales Executive,4,Single,77293,Upto 5k,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1.0
RM912,25,18-25,Yes,Travel_Frequently,599,Sales,24,1,Life Sciences,1,1273,3,Male,73,1,1,Sales Representative,4,Single,26118,Upto 5k,8040,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0.0
RM935,25,18-25,No,Travel_Rarely,266,Research & Development,1,3,Medical,1,1303,4,Female,40,3,1,Research Scientist,2,Single,50414,Upto 5k,18830,1,Y,No,18,3,4,80,0,2,3,2,2,2,2,1.0
RM966,25,18-25,No,Travel_Rarely,882,Research & Development,19,1,Medical,1,1358,4,Male,67,3,1,Laboratory Technician,4,Married,46386,Upto 5k,9075,3,Y,No,11,3,3,80,3,7,6,2,3,2,1,2.0
RM994,25,18-25,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,1399,1,Male,93,4,2,Sales Executive,3,Married,37745,5k-10k,12477,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2.0
